time, id1, id2, amount, message
2016-11-02 09:38:53, 49466, 6989, 23.74, 🦄 
2016-11-02 09:38:53, 52349, 8552, 37.10, Pitcher 
2016-11-02 09:38:53, 32639, 2562, 18.68, 🚕 
2016-11-02 09:38:53, 15381, 13167, 20.92, For your wife. 
2016-11-02 09:38:53, 17052, 6289, 39.09, 🍺🍺🍺🏌🏌🏌 
2016-11-02 09:38:53, 54008, 15138, 21.74, 🚗🌃 
2016-11-02 09:38:53, 74050, 45140, 36.92, Best hair stylist on the west coast... And rent 
2016-11-02 09:38:53, 46702, 8034, 32.07, Juice 
2016-11-02 09:38:53, 41480, 22688, 3.19, Milk 
2016-11-02 09:38:53, 47846, 6067, 14.96, ✨ 
